model,parameter,macro_avg_f1-score,weighted_avg_f1-score
svc,"(1.25, 'poly', 5, 'scale', -0.5)",0.3921938535016462,0.7388366198743809
svc,"(1.25, 'poly', 5, 'scale', 0.5)",0.40019065123337966,0.7463163824335942
svc,"(1.25, 'poly', 5, 'scale', 0.0)",0.3968527996548608,0.7439185719110964
svc,"(1.0, 'rbf', 3, 0.2, 0)",0.3828951268067023,0.7566679743529573
svc,"(1.0, 'poly', 2, 0.15, -0.5)",0.3836447794875093,0.7441783916298619
svc,"(1.0, 'poly', 2, 0.15, 0.0)",0.3836447794875093,0.7441783916298619
svc,"(1.0, 'poly', 2, 0.15, 0.5)",0.3836447794875093,0.7441783916298619
svc,"(0.5, 'poly', 4, 'auto', -0.5)",0.37277531055973556,0.7457529385225139
svc,"(0.5, 'poly', 4, 'auto', 0.0)",0.37436972840789473,0.7485430174861882
svc,"(0.5, 'poly', 4, 'auto', 0.5)",0.3786458831370598,0.7529617890586091
svc,"(1.25, 'poly', 3, 'auto', -0.5)",0.37307720862335003,0.7454770965364431
svc,"(1.25, 'poly', 3, 'auto', 0.0)",0.37450297940255894,0.7482076017703667
svc,"(1.25, 'poly', 3, 'auto', 0.5)",0.375834142130373,0.7500411262683762
svc,"(0.5, 'poly', 1, 0.3, 0.0)",0.375834142130373,0.7500411262683762
svc,"(0.5, 'poly', 1, 0.3, 0.5)",0.375834142130373,0.7500411262683762
svc,"(0.5, 'poly', 1, 0.3, -0.5)",0.375834142130373,0.7500411262683762
svc,"(0.5, 'rbf', 3, 0.25, 0)",0.3847719888848658,0.7578731233321141
svc,"(1.25, 'poly', 2, 'auto', -0.5)",0.37355405784810386,0.7443700069821484
svc,"(1.25, 'poly', 2, 'auto', 0.0)",0.3757979872903886,0.7461745040320498
svc,"(1.25, 'poly', 2, 'auto', 0.5)",0.3763133381675816,0.7467354241414631
svc,"(1.25, 'sigmoid', 3, 'scale', 0.5)",0.23719862181489534,0.6561237651288766
svc,"(1.25, 'sigmoid', 3, 'scale', 0.0)",0.23719862181489534,0.6561237651288766
svc,"(1.25, 'sigmoid', 3, 'scale', -0.5)",0.23719862181489534,0.6561237651288766
svc,"(1.5, 'sigmoid', 3, 0.25, 0.5)",0.23719862181489534,0.6561237651288766
svc,"(1.5, 'sigmoid', 3, 0.25, 0.0)",0.23719862181489534,0.6561237651288766
